INSERTION,DELETION,SUM,SUBTRACT
1,1,2,0
1,1,2,0
1,1,2,0
1,3,4,-2
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
0,14,14,-14
1,8,9,-7
4,4,8,0
4,4,8,0
4,3,7,1
1,1,2,0
1,1,2,0
1,0,1,1
4,1,5,3
1,1,2,0
2,0,2,2
1,0,1,1
1,1,2,0
1,1,2,0
7,1,8,6
3,3,6,0
0,0,0,0
0,0,0,0
2,2,4,0
8,8,16,0
1,1,2,0
14,14,28,0
14,14,28,0
16,34,50,-18
118,118,236,0
118,113,231,5
5,1,6,4
5,3,8,2
11,0,11,11
27,13,40,14
0,3,3,-3
29,3,32,26
19,20,39,-1
4,2,6,2
0,2,2,-2
2,4,6,-2
1,1,2,0
3,3,6,0
2,5,7,-3
1,1,2,0
2,2,4,0
1,1,2,0
